taxa_name	pectoral fin	
Pseudochromis	1	
Cetopsidium pemon	1	
Cyttopsis rosea	1	
Ompok leiacanthus	1	
Engraulis ringens	1	
Pseudotocinclus tietensis	1	
Brycinus brevis	1	
Goeldiella eques	1	
Pelteobagrus nudiceps	1	
Parabrotulidae	1	
Papyrocranus afer	1	
Alepisaurus	1	
Lepidogalaxiidae	1	
Siganus luridus	1	
Rhinelepis aspera	1	
Cetopsis amphiloxa	1	
Zeidae	1	
Mastacembelus cunningtoni	1	
Blennodesmus	1	
Aspidoras fuscoguttatus	1	
Algansea lacustris	1	
Myrocongridae	1	
Brycinus derhami	1	
Alepisaurus brevirostris	1	
Cetopsidium minutum	1	
Pseudobagrus ransonnettii	1	
Cottidae	1	
Aplocheilidae	1	
Pimelodus blochii	1	
Mastacembelus albomaculatus	1	
Cyttus australis	1	
Cephalosilurus albomarginatus	1	
Acestrorhynchus grandoculis	1	
Plicofollis argyropleuron	1	
Pelteobagrus ussuriensis	1	
Cetopsidium orientale	1	
Cyttus traversi	1	
Gyrinocheilus sp. (Fink and Fink 1981)	1	
Mastacembelus plagiostomus	1	
Acestrorhynchus nasutus	1	
