taxa_name	pectoral_fin	pectoral_fin_inferred	pectoral_fin_propagated
Parasciadonus pauciradiatus	1	1	1
Nybelinella brevidorsalis	1	1	1
Nybelinella erikssoni	1	1	1
Barathronus unicolor	1	1	1
Barathronus solomonensis	1	1	1
Barathronus maculatus	1	1	1
Barathronus multidens	1	1	1
Barathronus diaphanus	1	1	1
Barathronus bicolor	1	1	1
Barathronus pacificus	1	1	1
Barathronus parfaiti	1	1	1
Barathronus bruuni	1	1	1
Barathronus affinis	1	1	1
Lamprogrammus exutus	1	1	0
Lamprogrammus fragilis	1	1	0
Lamprogrammus brunswigi	1	1	0
Lamprogrammus niger	1	1	0
Lamprogrammus shcherbachevi	1	1	0
Eurypleuron owasianum	1	1	1
Encheliophis vermicularis	0	0	1
Encheliophis chardewalli	0	0	1
Encheliophis gracilis	0	0	1
Encheliophis vermiops	0	0	1
Encheliophis sagamianus	0	0	1
Snyderidia canina	1	1	0
Onuxodon margaritiferae	1	1	1
Onuxodon fowleri	1	1	1
Onuxodon parvibrachium	1	1	1
Echiodon rendahli	1	1	1
Echiodon neotes	1	1	1
Echiodon dawsoni	1	1	1
Echiodon pukaki	1	1	1
Echiodon exsilium	1	1	1
Echiodon pegasus	1	1	1
Echiodon drummondii	1	1	1
Echiodon coheni	1	1	1
Echiodon atopus	1	1	1
Echiodon dentatus	1	1	1
Echiodon cryomargarites	1	1	1
Carapus acus	1	1	1
Carapus sluiteri	1	1	1
Carapus dubius	1	1	1
Carapus mourlani	1	1	1
Carapus bermudensis	1	1	1
Potamobatrachus trispinosus	1	2	1
Daector schmitti	1	2	1
Daector reticulata	1	2	1
Daector gerringi	1	2	1
Daector dowi	1	2	1
Daector quadrizonatus	1	2	1
Thalassophryne punctata	1	2	1
Thalassophryne megalops	1	2	1
Thalassophryne montevidensis	1	2	1
Thalassophryne nattereri	1	2	1
Thalassophryne maculosa	1	2	1
Thalassophryne amazonica	1	2	1
Aphos porosus	1	2	1
Porichthys margaritatus	1	2	1
Porichthys kymosemeum	1	2	1
Porichthys mimeticus	1	2	1
Porichthys oculellus	1	2	1
Porichthys ephippiatus	1	2	1
Porichthys greenei	1	2	1
Porichthys oculofrenum	1	2	1
Porichthys bathoiketes	1	2	1
Porichthys analis	1	2	1
Porichthys notatus	1	2	1
Porichthys myriaster	1	2	1
Porichthys plectrodon	1	2	1
Porichthys pauciradiatus	1	2	1
Porichthys porosissimus	1	2	1
Bifax lacinia	1	2	1
Riekertia ellisi	1	2	1
Austrobatrachus foedus	1	2	1
Halophryne hutchinsi	1	2	1
Halophryne diemensis	1	2	1
Halophryne ocellatus	1	2	1
Halophryne queenslandiae	1	2	1
Batrichthys albofasciatus	1	2	1
Batrichthys apiatus	1	2	1
Colletteichthys dussumieri	1	2	1
Batrachomoeus rubricephalus	1	2	1
Batrachomoeus occidentalis	1	2	1
Batrachomoeus dubius	1	2	1
Batrachomoeus dahli	1	2	1
Batrachomoeus trispinosus	1	2	1
Halobatrachus didactylus	1	2	1
Allenbatrachus meridionalis	1	2	1
Allenbatrachus reticulatus	1	2	1
Allenbatrachus grunniens	1	2	1
Perulibatrachus rossignoli	1	2	1
Perulibatrachus kilburni	1	2	1
Perulibatrachus elminensis	1	2	1
Perulibatrachus aquilonarius	1	2	1
Chatrabus hendersoni	1	2	1
Chatrabus melanurus	1	2	1
Triathalassothia argentina	1	2	1
Triathalassothia lambaloti	1	2	1
Sanopus reticulatus	1	2	1
Sanopus astrifer	1	2	1
Sanopus barbatus	1	2	1
Sanopus splendidus	1	2	1
